plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
8254-1902,1-255878,0.0242371,0.155,0.155,76.9,2.8839582864527618,1,1,0,9.711,9.752,0.089,0.03705,16.194,0.0410000000000003,9.748,9.772,0.055,0.036975,14.885,0.0240000000000009,9.703896388813597,10.041437,78.02966,1.4437753,0.892788,2.39308,1168,1.45766427452391,0.30258585457524967,0.2655858545752507,0.30968946576165324,-0.027851145424750128,Low
8448-12704,1-487449,0.0226077,0.839,0.839,95.9,5.296150054897503,3,1,0,9.758,9.972,0.388,0.029303,86.789,0.2140000000000004,9.717,9.963,0.433,0.03026,86.789,0.2459999999999986,9.594653269805235,9.932194,60.49148,0.9000683,0.212745,9.49179,1168,2.5018630724581574,0.269060872904694,0.3100608729046925,0.4324076030994579,0.09486687290469215,Low
8313-12705,1-248233,0.0315371,0.834,0.834,192.6,9.407957546245791,3,1,0,11.153,11.157,0.007,0.019049,65.885,0.0039999999999995,11.133,11.148,0.033,0.019728,65.953,0.0150000000000005,10.626793932246466,10.9643345,148.32909,0.9126909,0.566323,9.50263,1040,6.132929837962158,0.042529576500362265,0.06252957650036355,0.5687356442538967,0.2311950765003629,High
8612-3701,1-94977,0.0290337,0.492,0.492,131.9,5.192286659082384,1,1,0,10.503,10.521,0.04,0.031672,86.56,0.0180000000000006,10.51,10.521,0.024,0.042209,86.56,0.011000000000001,10.2411478624117,10.578689,126.703,1.1567292,0.609212,4.53086,1168,3.1255443206866707,0.26290837313808163,0.25590837313808196,0.5247605107263825,0.18721937313808107,Mid
8486-1901,1-134004,0.0185601,0.63,0.63,63.3,3.080024880911829,3,1,0,9.476,9.551,0.159,0.04447,56.426,0.0749999999999992,9.516,9.556,0.088,0.044155,56.888,0.0399999999999991,9.226427184039226,9.563968,55.931877,1.0423976,0.667273,2.74306,1168,1.200381549289057,0.16404701477666245,0.12404701477666333,0.4136198307374377,0.07607901477666418,Low
8254-6102,1-276679,0.0252582,0.672,0.672,73.4,7.075422100347399,1,1,0,10.181,10.206,0.056,0.034264,50.091,0.0250000000000003,9.853,10.226,0.577,0.033884,50.763,0.3730000000000011,9.62139649012444,9.958937,56.440266,0.89579684,0.722862,6.59317,1168,3.7222436900592553,-0.04160817829755439,0.286391821702445,0.5179953315780053,0.1804548217024442,Low
8551-12704,1-247417,0.029372,0.821,0.821,125.6,7.256171744262311,3,1,0,10.573,10.598,0.057,0.024449,74.911,0.0250000000000003,10.542,10.593,0.112,0.024406,74.911,0.0510000000000001,10.244831080537717,10.582372,85.68304,0.9301983,0.391549,8.65153,1168,4.417006404138852,0.0033266778578441153,0.03432667785784466,0.3314955973201279,-0.006045322142154955,Mid
8554-3701,1-419380,0.0235125,0.677,0.677,73.3,5.234614762841105,3,1,0,9.907,9.976,0.146,0.033142,56.502,0.0690000000000008,9.915,9.976,0.132,0.033336,56.796,0.0610000000000017,9.656898942807697,9.994439,63.93942,0.935855,0.684283,4.84438,1168,2.5689360693998813,0.1796995969400017,0.17169959694000256,0.4298006541323049,0.09226059694000187,Low
8555-12705,1-134954,0.0315232,0.831,0.831,116.0,8.10447710429693,3,1,0,10.626,10.724,0.203,0.01908,56.158,0.0980000000000007,10.635,10.723,0.184,0.018627,56.159,0.0880000000000009,10.31458132144878,10.652122,79.54959,0.8884477,0.692219,7.2771,1168,5.280967290680848,-0.03660171564808307,-0.045601715648083414,0.2748169629031372,-0.06272371564808399,Mid
8452-3701,1-608874,0.0424317,0.171,0.171,184.5,7.795757742572466,1,1,2,11.129,11.168,0.084,0.033243,29.534,0.0389999999999997,11.137,11.163,0.057,0.033147,29.99,0.0259999999999998,10.53727746289257,10.874818,187.71823,0.90208155,0.921463,5.68996,4096,6.7485066875405915,0.3126294993041785,0.3046294993041776,0.9043520364116079,0.5668114993041786,High
