plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
7443-12704,12-84731,0.0187385,0.682,0.682,84.1,13.045278602839256,3,1,0,10.388,10.389,0.0,0.022805,78.343,0.0009999999999994,10.373,10.373,0.0,0.022248,78.421,0.0,9.86569014305721,10.203231,67.25098,0.91375524,0.320899,18.3902,8192,5.131904956752104,0.04308475491340782,0.05808475491340836,0.5653946118561981,0.2278537549134072,Mid
7443-6102,12-180432,0.0280161,0.613,0.613,105.7,7.328079918394733,3,1,0,10.447,10.555,0.219,0.018821,53.23,0.1080000000000005,10.427,10.556,0.256,0.018795,53.101,0.1289999999999995,10.18942293247014,10.526963,90.43372,1.0514778,0.718725,5.98851,1554,4.26183987347824,0.16066683575353233,0.18066683575353198,0.41824390328339084,0.08070383575353125,Mid
7443-12701,12-98126,0.020478,0.619,0.619,68.2,4.756027813742085,1,1,0,9.659,9.796,0.269,0.024092,49.098,0.1369999999999986,9.692,9.796,0.213,0.02385,49.099,0.1039999999999992,9.693127842476637,10.030668,63.785557,1.0967585,0.743017,4.26193,1562,2.0403419486382814,0.3255565787351025,0.292556578735103,0.2914287362584668,-0.04611142126489714,Low
7443-12705,12-84627,0.0644735,0.879,0.879,126.3,6.627033566327212,3,1,0,10.916,10.92,0.008,0.037805,66.102,0.0039999999999995,10.913,10.92,0.014,0.03733,66.183,0.0069999999999996,10.253388896228874,10.59093,70.29498,0.893336,0.481529,7.37167,4,8.491143704851218,-0.2277762700730053,-0.22477627007300524,0.4348348336981215,0.0972937299269948,High
7443-9102,12-84679,0.091575,0.156,0.156,280.0,5.503146775674609,1,1,0,11.585,11.623,0.082,0.022569,85.581,0.0379999999999984,11.606,11.621,0.031,0.041869,85.581,0.0150000000000005,10.980842045684838,11.318382,283.12518,0.92089856,0.7511,4.95598,2,9.70202631430923,0.3712283546751917,0.35022835467519275,0.9753863089903545,0.6378463546751929,High
7495-1902,12-129608,0.0318073,0.722,0.722,68.5,2.207105871644795,1,1,0,9.534,9.652,0.238,0.046168,86.698,0.1179999999999985,9.702,9.702,0.002,0.04147,86.698,0.0,9.465290628445365,9.802832,59.13387,1.0728625,0.557985,2.45252,10,1.4506384999777566,0.23664071942983336,0.06864071942983414,0.30535009098446947,-0.03219128057016632,Low
7495-12702,12-129612,0.0284013,0.862,0.862,123.4,8.691379121208316,3,1,0,10.486,10.636,0.291,0.017054,80.842,0.1499999999999985,10.331,10.608,0.471,0.016802,80.857,0.277000000000001,10.184603427595148,10.522144,72.885414,0.9358357,0.290015,12.3368,1554,5.121813295771619,0.014113908694348472,0.16911390869434964,0.3155104810992013,-0.022030091305651738,Mid
7495-12704,12-129618,0.0289385,0.856,0.856,120.0,11.582086547667684,1,1,0,10.316,10.834,0.696,0.009851,59.022,0.5179999999999989,9.621,10.833,0.939,0.009309,59.022,1.2119999999999995,10.326327666615938,10.663868,74.40328,0.9089342,0.660855,10.6479,1050,6.94988213224897,0.33457051757791395,1.0295705175779144,0.3242428509619763,-0.013297482422086063,Mid
7495-3701,12-129446,0.0670065,0.73,0.73,123.3,5.652882214664313,3,1,0,10.991,11.069,0.164,0.029917,34.4,0.0780000000000011,11.048,11.049,0.004,0.029091,34.406,0.0009999999999994,10.588793667193723,10.926334,99.31317,0.93677926,0.860503,4.76389,10,7.5050512851724065,-0.0562237312384184,-0.11322373123841879,0.345982601567858,0.008442268761580586,High
7495-12701,12-192120,0.0612091,0.49,0.49,144.8,5.174617755982652,1,1,0,10.92,10.921,0.003,0.0527,30.104,0.0009999999999994,10.917,10.921,0.007,0.052655,30.147,0.0039999999999995,10.28078090284656,10.618321,145.82826,0.9911174,0.761878,11.2065,4,6.3188376139134865,0.2737294980140508,0.2767294980140509,0.9129485951674905,0.5754084980140508,High
7495-12703,12-129646,0.0298759,0.88,0.88,107.4,9.57305023256598,3,1,0,10.627,10.639,0.026,0.019884,62.974,0.0119999999999986,10.602,10.633,0.068,0.019411,62.81,0.0309999999999988,10.119348282530472,10.456889,53.695225,0.8920233,0.536654,10.7047,1170,5.923709334359543,-0.32912601102936034,-0.3041260110293601,0.17852570644016796,-0.15901501102935994,Mid
7495-6104,12-129534,0.029503,0.663,0.663,64.5,4.274138484753604,1,1,0,9.109,9.641,0.706,0.078781,77.866,0.532,9.22,9.648,0.627,0.078805,77.866,0.427999999999999,9.004880007240635,9.342421,29.92929,0.89982384,0.336896,6.33359,10,2.612961076841452,0.32573468473604766,0.21473468473604704,0.4298546774954129,0.0923136847360478,Low
7495-12705,12-129629,0.0762428,0.192,0.192,91.1,5.516665483218517,1,1,0,11.434,11.434,0.0,0.059889,2.566,0.0,11.427,11.457,0.066,0.059897,2.566,0.0300000000000011,10.45715948973154,10.7947,100.87998,0.9243247,0.832785,6.48566,4,8.243721530327871,-0.44485779647455315,-0.4378577964745535,0.5319827137939066,0.19444220352544547,High
7495-9102,12-129609,0.0289841,0.802,0.802,100.2,5.41409251979424,3,1,2,10.185,10.387,0.371,0.020642,59.491,0.2019999999999999,10.201,10.378,0.335,0.02042,59.491,0.1769999999999996,9.978313844512478,10.315854,85.93442,0.9446057,0.702952,4.80898,4226,3.253689896722314,0.26111937452860895,0.24511937452860896,0.46780553001613173,0.13026537452860962,Low
7495-3703,12-110756,0.0285104,0.823,0.823,65.7,3.3208504368894785,3,1,0,9.626,9.626,0.0,0.051651,79.537,0.0,9.637,9.637,0.0,0.050747,83.393,0.0,9.284523223079823,9.622064,42.732788,0.92922497,0.310257,5.02675,10,1.9642290680256902,-0.005876494192684506,-0.016876494192685446,0.3356002827274918,-0.0019404941926849714,Low
7815-3702,1-113540,0.0293823,0.573,0.573,84.9,4.470276529694416,1,1,0,10.087,10.178,0.188,0.032479,36.696,0.091000000000001,9.994,10.215,0.398,0.029103,36.69,0.221,10.007034745260038,10.344575,80.814545,1.1618696,0.889156,3.77495,1216,2.7220852703271063,0.2282897052964098,0.3212897052964098,0.308254960036372,-0.029285294703591126,Low
7815-9101,1-113375,0.028215,0.806,0.806,79.8,8.495472857009752,3,1,2,9.814,10.384,0.731,0.02803,59.491,0.5700000000000003,9.703,10.384,0.791,0.027679,59.509,0.6810000000000009,9.679288863783018,10.0168295,49.055336,0.9007767,0.570455,8.96766,4288,4.974647759991826,0.32954376004848474,0.4405437600484854,0.4642548962654667,0.12671426004848482,Low
7815-12704,1-113418,0.0430806,0.802,0.802,140.8,6.045073804309394,3,1,0,10.71,10.745,0.078,0.029597,75.114,0.0349999999999983,10.667,10.737,0.147,0.0293,74.961,0.0700000000000002,10.448369263175575,10.78591,104.42287,0.99361104,0.456991,7.31411,512,5.308899785981143,0.118004693676247,0.16100469367624792,0.37963543050067267,0.04209469367624834,Mid
7815-3704,1-113651,0.0708847,0.63,0.63,139.0,3.8035313417264622,1,1,0,10.707,10.991,0.479,0.040499,36.744,0.2839999999999989,10.611,11.022,0.612,0.036673,36.73,0.4109999999999996,10.471128820084258,10.808669,131.42001,1.0154548,0.941069,2.96539,256,5.317671589817101,0.32145341989039206,0.4174534198903922,0.5573245998061344,0.2197844198903927,Mid
7815-12705,1-635503,0.0293012,0.81,0.81,116.4,7.690147727058768,3,1,0,10.562,10.562,0.0,0.02272,73.583,0.0,10.533,10.557,0.053,0.022655,73.558,0.0240000000000009,10.29038635876686,10.627927,79.82776,0.94393694,0.455715,9.07305,1552,4.670294024480064,-0.022938975537203928,0.006061024462796064,0.24867466569593594,-0.08886597553720414,Mid
7815-3703,1-113585,0.070276,0.09,0.09,207.8,3.920336916057548,1,1,0,11.123,11.128,0.01,0.04515,67.081,0.0050000000000007,11.123,11.126,0.004,0.059117,86.222,0.0030000000000001,10.868646789102844,11.206187,209.63882,1.0258846,0.773512,4.03009,128,5.437805031640913,0.32077596079578863,0.32077596079578863,0.5751291716929445,0.2375889607957882,High
8341-3702,1-259058,0.024225,0.724,0.724,81.3,3.812792486800097,1,1,0,9.728,9.853,0.25,0.029799,78.086,0.125,9.494,9.818,0.525,0.029634,78.403,0.3239999999999998,9.57437393561696,9.911915,64.098495,1.1056118,0.42258,4.59382,1168,1.926199257645017,0.2358057919381272,0.4698057919381272,0.38943185632116745,0.05189079193812647,Low
8341-12702,1-575668,0.0601828,0.243,0.243,213.8,10.846892408609962,1,1,0,11.535,11.552,0.037,0.025324,82.799,0.0169999999999994,11.556,11.557,0.001,0.026265,61.541,0.0010000000000012,11.021329904995776,11.3588705,215.30664,0.88516134,0.889124,8.80502,1040,13.039131165806383,0.3117724167445033,0.2907724167445044,0.8254425117487276,0.48790191674450334,High
8341-6102,1-259068,0.0246979,0.469,0.469,124.4,4.2845494122867285,1,1,0,10.25,10.294,0.096,0.031676,67.614,0.0440000000000004,10.196,10.263,0.141,0.031703,66.417,0.0670000000000001,9.73146385734719,10.069004,108.50865,1.1894289,0.493934,4.56267,1168,2.205516484115117,0.22984794416315496,0.2838479441631553,0.7483840868159647,0.41084394416315545,Mid
8341-12701,1-282653,0.0242146,0.81,0.81,88.7,6.2033270506859015,3,1,0,9.952,10.031,0.166,0.029049,76.323,0.0790000000000006,9.939,10.032,0.193,0.029046,76.669,0.0929999999999999,9.46061974515819,9.798161,53.08884,0.95981973,0.300174,8.57495,1168,3.132576704087663,0.05931710152113876,0.07231710152113859,0.550697356362948,0.2131561015211383,Low
8341-6101,1-258876,0.0316072,0.599,0.599,140.4,8.679886333515148,1,1,0,10.762,10.762,0.0,0.023633,64.43,0.0,10.751,10.752,0.0,0.024059,70.485,0.0010000000000012,10.443744747902064,10.781285,127.60762,0.9887901,0.579324,9.7557,1040,5.670406572476502,0.268776332297598,0.27977633229759896,0.587031584395534,0.24949133229759796,Mid
8341-3704,1-259250,0.0240353,0.597,0.597,196.0,5.052112760856407,3,1,2,10.703,10.757,0.113,0.019162,78.776,0.0540000000000002,10.704,10.755,0.109,0.024619,82.407,0.0510000000000001,10.312754761874393,10.650295,190.78987,1.6249577,0.585455,4.579,4096,2.5328927332312703,0.32713633773619244,0.3261363377361911,0.717381575861799,0.3798413377361919,Mid
8341-6104,1-283286,0.031364,0.449,0.449,134.2,6.481275075324994,1,1,2,10.616,10.716,0.205,0.0275,50.628,0.0999999999999996,10.59,10.694,0.212,0.026306,53.871,0.1040000000000009,10.168600594123458,10.506142,130.92351,0.9722938,0.760917,5.45931,4288,4.202750027660714,0.30697775528567595,0.3329777552856757,0.754377161162218,0.416835755285675,Mid
8341-9102,1-259245,0.0244724,0.769,0.769,73.9,6.89340261988521,1,1,0,10.065,10.118,0.115,0.028142,61.452,0.0530000000000008,10.078,10.119,0.091,0.028134,61.481,0.0410000000000003,9.593153099376847,9.930694,50.336464,0.9002946,0.561655,6.94866,1168,3.5170141795620142,-0.049651556642732,-0.062651556642732,0.4221953439804202,0.08465444335726666,Low
8329-12704,1-235203,0.0159429,0.719,0.719,75.4,12.17149058654056,1,1,2,9.86,10.213,0.556,0.018139,67.781,0.3529999999999997,9.999,10.221,0.4,0.018118,67.185,0.2219999999999995,9.488162780358612,9.825704,50.45219,0.9276042,0.547486,12.2878,4096,4.0877219777445974,0.22265031075353364,0.0836503107535325,0.5944875303949209,0.2569463107535331,Low
8329-1901,1-235530,0.027447,0.461,0.461,162.6,4.3388369626129855,3,1,0,10.612,10.621,0.018,0.036518,32.391,0.0090000000000003,10.595,10.62,0.054,0.035914,32.591,0.0249999999999985,9.997783359534472,10.335324,169.82999,1.5568064,0.895949,2.79849,1040,2.4738116108541712,0.3068043071579602,0.3238043071579597,0.9210209476234887,0.5834803071579604,Mid
8329-6103,1-265988,0.0312672,0.832,0.832,115.3,6.805635061155952,3,1,0,10.619,10.626,0.016,0.023891,59.664,0.0069999999999996,10.619,10.625,0.014,0.023818,59.692,0.0060000000000002,10.216751606701832,10.554293,79.30902,0.96363145,0.641807,6.41402,1168,4.399973621758271,-0.11149584469725154,-0.11149584469725154,0.2907525486009159,-0.0467888446972513,Mid
8329-12701,1-266039,0.0350445,0.694,0.694,114.3,13.223805813543084,3,1,0,11.161,11.161,0.0,0.017688,31.761,0.0,11.147,11.148,0.002,0.017672,31.849,0.0009999999999994,10.559485286674755,10.897026,87.01507,0.92915624,0.821144,11.1572,1040,9.538724129571204,-0.23691184797646878,-0.2229118479764695,0.3646028653487752,0.02706215202353039,High
8319-1902,1-285062,0.0269767,0.343,0.343,131.8,3.695983422890308,3,1,0,10.357,10.358,0.0,0.036961,32.852,0.0010000000000012,10.318,10.327,0.019,0.036638,37.214,0.0090000000000003,10.059964585786684,10.397505,138.08882,1.784498,0.887822,2.40312,1168,2.0723569132273574,0.3051905067193519,0.34419050671935153,0.6022259209326672,0.2646855067193504,Mid
8319-12704,1-285136,0.0288275,0.785,0.785,91.3,12.554531662513767,1,1,0,10.493,10.638,0.284,0.016596,49.166,0.1449999999999995,10.275,10.637,0.566,0.016482,49.158,0.3620000000000001,10.312553920321047,10.650095,63.387615,0.9128626,0.705926,10.6201,1040,7.505513642279969,0.05179815715828361,0.26979815715828365,0.23224423683723677,-0.10529684284171625,Mid
8243-6103,1-47342,0.0314668,0.652,0.652,185.6,6.251592167920106,3,1,0,10.944,11.003,0.126,0.020954,59.785,0.0589999999999992,10.928,10.992,0.135,0.020712,59.765,0.064,10.548499974083596,10.886041,170.35826,1.0350504,0.773045,5.41201,1040,4.066595467670373,0.19336627910347404,0.20936627910347413,0.5888663050198795,0.25132527910347446,High
8243-12704,1-47291,0.0239134,0.81,0.81,84.9,9.534141849867371,3,1,0,10.11,10.403,0.49,0.019321,55.018,0.293000000000001,10.289,10.401,0.226,0.019237,54.703,0.1120000000000001,9.985277342205752,10.322818,53.799225,0.89158875,0.63099,9.9008,1040,4.756433103109187,0.09424234756833044,-0.08475765243166994,0.2189650053625782,-0.11857565243166995,Low
8243-12701,1-46562,0.0448787,0.827,0.827,165.0,11.434434604109711,3,1,0,11.158,11.242,0.174,0.016045,71.936,0.0840000000000014,11.107,11.237,0.258,0.016011,71.936,0.1300000000000007,10.809410210804478,11.146951,108.63193,0.9006356,0.470275,13.079,1040,10.438570118583709,-0.002035080708248107,0.04896491929175219,0.3465547084872738,0.009013919291751781,High
8243-6104,1-47248,0.0465202,0.164,0.164,250.5,7.984975004025103,1,1,0,11.485,11.486,0.0,0.028971,38.404,0.0010000000000012,11.418,11.482,0.134,0.030969,39.677,0.064,10.771878382780896,11.109419,252.32057,0.96098924,0.87381,6.14313,1040,7.541338863242164,0.26176268553750726,0.32876268553750737,0.9748843027566108,0.6373436855375059,High
8243-9102,1-605419,0.0587489,0.395,0.395,188.6,8.677498120555542,1,1,0,11.33,11.507,0.335,0.018704,20.222,0.1769999999999996,11.333,11.506,0.327,0.018695,20.207,0.173,11.111131398785512,11.448672,182.28749,0.91266614,0.976173,6.84591,1024,10.200077868688988,0.2655261327286129,0.2625261327286127,0.4843947339431013,0.1468541327286127,High
8439-6103,1-124604,0.0253001,0.831,0.831,133.7,4.8468058018085545,3,1,0,10.451,10.451,0.0,0.028611,79.919,0.0,10.453,10.453,0.0,0.028216,80.013,0.0,10.024374822259768,10.361916,97.88853,1.1135571,0.345553,6.67132,1552,2.5539115140429853,0.003078375069471519,0.0010783750694726886,0.4297035528097044,0.09216237506947127,Mid
8439-3702,1-585593,0.0265918,0.714,0.714,173.2,5.6034980135138985,1,1,0,10.585,10.697,0.227,0.006068,68.15,0.1119999999999983,10.562,10.695,0.262,0.007475,82.458,0.1330000000000009,10.444845471310462,10.782386,157.39249,1.8978977,0.638836,4.17571,1024,3.0985259142801014,0.3655320604454098,0.3885320604454112,0.505686589134949,0.16814606044541,Mid
8439-1902,1-156061,0.0259393,0.169,0.169,107.6,12.271744714760231,1,1,2,10.398,10.452,0.117,0.046362,30.252,0.0540000000000002,10.393,10.393,0.0,0.040088,32.323,0.0,9.589396612476538,9.926937,110.00319,1.4762508,0.859392,1.92512,4288,6.62454527669167,0.5713755472776518,0.5763755472776508,1.3799789348011138,1.042438547277651,Mid
8439-12702,1-155926,0.0269288,0.803,0.803,143.1,11.275155400179736,1,1,0,10.742,11.019,0.471,0.011061,56.158,0.2769999999999992,10.708,11.044,0.538,0.010712,56.158,0.3360000000000003,10.44134001561561,10.778881,119.63587,0.93711716,0.796842,8.68808,1024,6.311178257922575,0.27924218675793605,0.31324218675793675,0.5799021711423265,0.24236118675793675,Mid
8439-12701,1-155978,0.0162666,0.61,0.61,65.1,10.896376234037362,1,1,0,9.317,9.999,0.792,0.042345,64.204,0.6820000000000004,8.921,9.956,0.908,0.04204,67.153,1.035,8.950655909403528,9.288197,45.241833,0.96732205,0.526699,11.9432,1040,3.7323094633435954,0.6314669461292127,1.0274669461292136,0.9978110367256849,0.6602699461292126,Low
8439-12703,1-605884,0.0251076,0.798,0.798,103.5,11.002154263819731,3,1,0,10.601,10.603,0.006,0.017606,59.632,0.0019999999999988,10.577,10.609,0.072,0.017227,59.741,0.032,10.166193215170068,10.503734,65.49975,0.921794,0.607205,11.8238,1552,5.754562115964044,-0.14309951741659868,-0.11909951741659772,0.291707267413334,-0.04583351741659747,Mid
8439-6101,1-156074,0.0263866,0.688,0.688,78.0,6.3899166940059065,1,1,0,10.016,10.189,0.328,0.02873,61.471,0.173,10.025,10.188,0.313,0.028761,62.188,0.1630000000000002,9.430018587145234,9.767559,60.63107,0.99287593,0.571587,6.42902,1168,3.5069918846929533,0.1597341416670483,0.15073414166704793,0.745715554521814,0.40817514166704805,Low
8439-12705,1-156062,0.0511487,0.177,0.177,182.2,12.09536617513744,1,1,2,11.36,11.405,0.098,0.030903,32.121,0.0449999999999999,11.329,11.37,0.089,0.031337,36.01,0.0409999999999985,10.71546431707162,11.053005,186.72623,0.9473778,0.844666,10.779,4160,12.490718478182892,0.344406993465671,0.37540699346566986,0.988942676394051,0.6514019934656698,High
8439-3703,1-156158,0.138619,0.525,0.525,139.0,6.531787488092025,1,1,2,11.874,11.874,0.0,0.042403,18.211,0.0,11.873,11.874,0.001,0.042299,18.213,0.0010000000000012,11.029789470831856,11.367331,136.85376,0.85890967,0.933317,5.10564,4160,16.516836030266774,-0.3181507591413818,-0.3171507591413806,0.5260597700267624,0.18851824085861876,High
8326-1901,1-320681,0.0278739,0.576,0.576,185.6,4.05489353646264,1,1,0,10.71,10.735,0.054,0.039449,46.498,0.0249999999999985,10.698,10.733,0.074,0.036821,47.129,0.0350000000000001,10.184379080658596,10.521919,182.63416,1.5826485,0.859808,3.10794,1040,2.3466654833293132,0.24902412394264686,0.2610241239426474,0.7746450432840517,0.4371051239426473,Mid
8326-3702,1-321069,0.0726445,0.434,0.434,240.4,5.60171189226634,3,1,0,11.395,11.426,0.067,0.030634,72.697,0.0310000000000005,11.389,11.423,0.073,0.031347,82.961,0.0340000000000006,10.999752381567356,11.337293,233.6701,0.9990702,0.613687,5.17041,1040,8.00951997597534,0.3112216932383525,0.3172216932383527,0.7064693116709958,0.36892869323835137,High
8326-12702,1-235575,0.0271793,0.699,0.699,62.4,10.694240677015214,1,1,0,9.703,10.588,0.87,0.019833,36.616,0.8849999999999998,9.185,10.607,0.962,0.018943,36.617,1.4219999999999988,9.670367401399092,10.007908,42.869972,0.86885196,0.873253,8.38001,1168,6.039867225830974,0.40774270690004144,0.9257427069000403,0.4403753055009486,0.10283470690004037,Low
8326-3701,1-235530,0.027447,0.429,0.429,160.8,4.333569252824301,1,1,0,10.58,10.58,0.0,0.032163,33.701,0.0,10.603,10.604,0.0,0.031306,32.966,0.0009999999999994,9.997783359534472,10.335324,168.04117,1.4109844,0.895949,2.79849,1040,2.470808197324198,0.3290793424258345,0.3060793424258348,0.911295982891363,0.5737553424258346,Mid
8326-12701,1-235398,0.0280844,0.707,0.707,129.7,7.886182126857604,3,1,0,10.708,10.708,0.0,0.0212,62.858,0.0,10.717,10.717,0.0,0.01979,62.654,0.0,10.219835914662877,10.557377,108.55329,0.9393992,0.596415,8.44428,1552,4.597220233899109,0.09119020595862433,0.08219020595862392,0.5793542912957477,0.24181320595862388,Mid
8326-6104,1-320584,0.071057,0.277,0.277,294.3,7.409401886207906,1,1,0,11.598,11.688,0.185,0.020858,85.23,0.0899999999999998,11.599,11.685,0.176,0.028322,85.23,0.0860000000000003,11.031816307505684,11.369357,291.40457,0.9975563,0.839827,5.3306,1040,10.382070178996068,0.41268559252803577,0.4116855925280363,0.9788692850223525,0.6413285925280356,High
7991-6103,1-24006,0.0311171,0.814,0.814,59.0,3.9887705875200425,1,1,0,8.813,9.64,0.851,0.038494,77.866,0.827,8.312,9.626,0.951,0.03816,77.866,1.314,9.448608940474736,9.78615,33.965492,0.95301276,0.378606,5.35987,64,2.566902185595992,0.7238940550035908,1.224894055003592,0.08828511452885507,-0.2492559449964077,Low
7991-3702,1-23979,0.0266298,0.666,0.666,105.6,4.901487293681805,3,1,0,10.276,10.357,0.17,0.032707,45.842,0.0809999999999995,10.262,10.362,0.204,0.032166,45.96,0.0999999999999996,9.950524034052464,10.288065,95.09604,1.0044144,0.740375,4.33234,1168,2.7140882833306046,0.17935775048732766,0.19335775048732706,0.5048337164348639,0.16729275048732795,Mid
7991-1902,1-24099,0.0281658,0.665,0.665,120.2,3.394332271403022,3,1,0,10.226,10.261,0.076,0.030804,48.855,0.0349999999999983,10.202,10.27,0.145,0.030892,49.232,0.0679999999999996,10.07136643675913,10.408907,113.10084,1.5391245,0.775333,3.07681,1168,1.9842528970410884,0.2439375994803478,0.2679375994803486,0.39857116272121906,0.0610305994803495,Low
7991-9101,1-23929,0.0283133,0.821,0.821,84.3,6.970905400066627,3,1,0,10.106,10.229,0.247,0.031359,70.184,0.1229999999999993,10.097,10.235,0.271,0.031366,70.658,0.1379999999999999,9.698605912984592,10.036146,52.570282,0.88621545,0.456738,7.97234,64,4.095649174575286,0.013212277646785111,0.02221227764678535,0.4206063646621932,0.08306627764678436,Low
7991-12704,1-24368,0.0250049,0.68,0.68,71.0,9.54703745476179,1,1,0,8.665,10.371,0.98,0.028241,46.074,1.7060000000000013,9.353,10.365,0.903,0.028124,46.626,1.0120000000000005,9.475477964189142,9.813019,53.59901,0.8936564,0.771182,8.82633,1168,4.973672467932511,1.5553996340192344,0.867399634019234,0.7449216698300912,0.4073806340192332,Low
7991-6102,1-24354,0.0275173,0.735,0.735,73.6,3.960291221041452,1,1,2,9.848,9.971,0.246,0.042502,58.549,0.1229999999999993,9.846,9.97,0.248,0.042586,59.26,0.1240000000000005,9.593453326815007,9.930994,57.275837,0.9444554,0.381705,5.66283,4160,2.2635724061963,0.088146195555007,0.09014619555500772,0.3426928687400005,0.005152195555007662,Low
7991-12701,1-595027,0.0288967,0.85,0.85,121.6,8.32026923919168,3,1,0,10.647,10.647,0.0,0.018633,65.636,0.0,10.651,10.652,0.0,0.017969,65.593,0.0009999999999994,10.15839265038712,10.495934,70.08806,0.98911566,0.515362,9.24619,1552,4.985654762283738,-0.1925808042779027,-0.19658080427790223,0.29602654533497824,-0.04151480427790251,Mid
7991-12703,1-595093,0.0300075,0.826,0.826,149.9,9.957898108925232,3,1,0,10.856,10.889,0.073,0.020625,74.911,0.0329999999999994,10.874,10.894,0.044,0.020312,74.911,0.0199999999999995,10.481706278440688,10.819247,109.14754,0.916817,0.396696,11.5,1040,6.188007368451907,0.07698764150156759,0.05898764150156688,0.4512813630608793,0.1137406415015667,Mid
7991-6101,1-24018,0.0328402,0.451,0.451,128.1,7.648537863404563,1,1,0,10.67,10.67,0.0,0.035839,26.94,0.0,10.674,10.679,0.012,0.033162,26.838,0.0050000000000007,10.37914228664732,10.716682,129.19946,1.0493155,0.931379,6.20881,1040,5.183846516952815,0.3325824470102474,0.32858244701024797,0.6234401603629266,0.2859004470102469,Mid
7991-3704,1-23891,0.0274682,0.668,0.668,153.8,5.411164888925812,1,1,0,10.653,10.691,0.083,0.032387,80.702,0.0380000000000002,10.663,10.692,0.066,0.032166,80.732,0.0289999999999999,10.217476047878812,10.5550165,138.08511,1.3355514,0.501249,5.1223,1040,3.0875090028685683,0.1823108486499703,0.17231084864997054,0.6178348007711592,0.28029434864997005,Mid
7991-6104,1-24148,0.0282021,0.713,0.713,131.2,4.80636464444432,3,1,0,10.296,10.449,0.297,0.018311,78.594,0.1530000000000004,10.203,10.433,0.41,0.017708,78.361,0.2300000000000004,10.137774907199372,10.475315,110.17038,1.1461816,0.464158,5.4097,1168,2.81319390167416,0.30273827764552597,0.395738277645526,0.46096337044615354,0.12342327764552523,Mid
7991-3703,1-24124,0.0268484,0.714,0.714,64.9,4.256576376098324,1,1,2,9.181,9.85,0.785,0.032499,59.268,0.6690000000000005,9.682,9.854,0.327,0.033774,62.779,0.1719999999999988,9.457127658016958,9.794668,51.00471,0.9237707,0.548197,4.65501,4672,2.3757024040459203,0.6754215179384639,0.17442151793846264,0.399293859921505,0.061753517938463336,Low
7977-1901,1-115062,0.0260569,0.15,0.15,126.8,1.82062040402632,1,1,2,10.047,10.047,0.0,0.054992,33.92,0.0,10.044,10.05,0.013,0.052894,34.361,0.0060000000000002,9.620189166878436,9.957729,127.71718,1.3908427,0.865932,1.29971,4288,0.9871241347007459,0.22527932733501319,0.22827932733501313,0.6520901604565773,0.31455032733501315,Low
7977-3702,1-114928,0.0273478,0.644,0.644,173.7,5.8641396277705535,1,1,0,10.634,10.722,0.181,0.013914,72.045,0.0879999999999991,10.647,10.725,0.162,0.01608,86.698,0.0779999999999994,10.31298508676832,10.650526,162.04541,1.1890662,0.680598,4.63049,1040,3.331787277543566,0.37335964900286367,0.36035964900286377,0.6943745622345442,0.3568336490028647,Mid
7977-1902,1-115128,0.0358116,0.643,0.643,106.3,7.411521164755127,3,1,0,10.653,10.672,0.043,0.036548,68.947,0.0190000000000001,10.662,10.675,0.029,0.036751,69.037,0.0129999999999999,10.241075573682414,10.578616,84.9227,0.9304918,0.49669,7.78621,64,5.458129665476538,0.007500351280634355,-0.0014996487193658988,0.41942477759822083,0.08188435128063463,Mid
7977-9101,1-596598,0.0265918,0.688,0.688,108.3,7.453829183081331,1,1,0,10.329,10.45,0.242,0.019168,63.877,0.1209999999999986,10.23,10.441,0.385,0.019881,64.057,0.2110000000000003,10.328018560809646,10.665559,97.414406,0.93104064,0.633549,6.94501,1040,4.121690206491495,0.3287306352508787,0.42773063525087895,0.32971207444123335,-0.0078283647491207,Mid
7977-12704,1-636015,0.0273857,0.775,0.775,136.9,8.527521922065901,3,1,0,10.623,10.624,0.0,0.024099,77.953,0.0010000000000012,10.5,10.597,0.201,0.020551,77.503,0.0969999999999995,10.233341376909852,10.570882,100.081955,0.95146793,0.320413,11.7411,1040,4.851514470108784,0.1289978071288585,0.25199780712885783,0.5186564302190059,0.18111580712885858,Mid
7977-3701,1-115097,0.0274473,0.341,0.341,112.8,4.672409207109314,1,1,2,10.252,10.255,0.005,0.040856,69.758,0.0030000000000001,10.299,10.299,0.0,0.050103,86.509,0.0,9.909029957699213,10.246571,111.58621,1.0564697,0.528689,4.65282,4288,2.664027799792204,0.33416872227234273,0.28716872227234386,0.6771387645731307,0.3395977222723439,Mid
