plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile,Eps_MGE,beta_z,LW_AGE_1Re,LW_Z_1Re,nsa_sersic_n,log_Re_kpc,kin_class
7443-12704,12-84731,0.0187385,0.682,0.682,84.1,13.045278602839256,3,1,0,10.388,10.389,0.0,0.022805,78.343,0.0009999999999994,10.373,10.373,0.0,0.022248,78.421,0.0,9.86569014305721,10.203231,67.25098,0.91375524,0.320899,18.3902,8192,5.131904956752104,0.0430847549134078,0.0580847549134083,0.5653946118561981,0.2278537549134072,Mid,0.739,0.06,0.26450085639953613,-0.11316720396280289,0.931124,0.7102786046124144,fast
7443-6102,12-180432,0.0280161,0.613,0.613,105.7,7.328079918394733,3,1,0,10.447,10.555,0.219,0.018821,53.23,0.1080000000000005,10.427,10.556,0.256,0.018795,53.101,0.1289999999999995,10.18942293247014,10.526963,90.43372,1.0514778,0.718725,5.98851,1554,4.26183987347824,0.1606668357535323,0.1806668357535319,0.4182439032833908,0.0807038357535312,Mid,0.376,0.0,0.29131293296813965,-0.0825335681438446,1.47562,0.6295971283037549,fast
7443-12701,12-98126,0.020478,0.619,0.619,68.2,4.756027813742085,1,1,0,9.659,9.796,0.269,0.024092,49.098,0.1369999999999986,9.692,9.796,0.213,0.02385,49.099,0.1039999999999992,9.693127842476637,10.030668,63.785557,1.0967585,0.743017,4.26193,1562,2.040341948638281,0.3255565787351025,0.292556578735103,0.2914287362584668,-0.0461114212648971,Low,0.356,0.0,0.5516265630722046,-0.1162901371717453,4.43097,0.30970295858355995,fast
7443-12705,12-84627,0.0644735,0.879,0.879,126.3,6.627033566327212,3,1,0,10.916,10.92,0.008,0.037805,66.102,0.0039999999999995,10.913,10.92,0.014,0.03733,66.183,0.0069999999999996,10.253388896228874,10.59093,70.29498,0.893336,0.481529,7.37167,4,8.491143704851218,-0.2277762700730053,-0.2247762700730052,0.4348348336981215,0.0972937299269948,High,0.591,0.026,0.3119847774505615,-0.057516925036907196,0.985387,0.9289661909804395,fast
7443-9102,12-84679,0.091575,0.156,0.156,280.0,5.503146775674609,1,1,0,11.585,11.623,0.082,0.022569,85.581,0.0379999999999984,11.606,11.621,0.031,0.041869,85.581,0.0150000000000005,10.980842045684838,11.318382,283.12518,0.92089856,0.7511,4.95598,2,9.70202631430923,0.3712283546751917,0.3502283546751927,0.9753863089903544,0.6378463546751929,High,0.337,0.132,0.7798144817352295,0.15911538898944855,6.0,0.9868624482063296,slow
7495-1902,12-129608,0.0318073,0.722,0.722,68.5,2.207105871644795,1,1,0,9.534,9.652,0.238,0.046168,86.698,0.1179999999999985,9.702,9.702,0.002,0.04147,86.698,0.0,9.465290628445365,9.802832,59.13387,1.0728625,0.557985,2.45252,10,1.4506384999777566,0.2366407194298333,0.0686407194298341,0.3053500909844694,-0.0321912805701663,Low,0.5,0.0,0.7972591519355774,-0.23399770259857178,2.24667,0.16155919946380293,fast
7495-12702,12-129612,0.0284013,0.862,0.862,123.4,8.691379121208316,3,1,0,10.486,10.636,0.291,0.017054,80.842,0.1499999999999985,10.331,10.608,0.471,0.016802,80.857,0.277000000000001,10.184603427595148,10.522144,72.885414,0.9358357,0.290015,12.3368,1554,5.121813295771619,0.0141139086943484,0.1691139086943496,0.3155104810992013,-0.0220300913056517,Mid,0.791,0.0,0.3776176869869232,-0.03389952331781387,1.82485,0.7094237431886399,fast
7495-12704,12-129618,0.0289385,0.856,0.856,120.0,11.582086547667684,1,1,0,10.316,10.834,0.696,0.009851,59.022,0.5179999999999989,9.621,10.833,0.939,0.009309,59.022,1.2119999999999995,10.326327666615938,10.663868,74.40328,0.9089342,0.660855,10.6479,1050,6.94988213224897,0.3345705175779139,1.0295705175779144,0.3242428509619763,-0.013297482422086,Mid,0.44,0.0,0.33587074279785156,0.011952290311455727,1.34532,0.8419774391587554,fast
7495-3701,12-129446,0.0670065,0.73,0.73,123.3,5.652882214664313,3,1,0,10.991,11.069,0.164,0.029917,34.4,0.0780000000000011,11.048,11.049,0.004,0.029091,34.406,0.0009999999999994,10.588793667193723,10.926334,99.31317,0.93677926,0.860503,4.76389,10,7.5050512851724065,-0.0562237312384184,-0.1132237312384187,0.345982601567858,0.0084422687615805,High,0.198,0.0,0.3388526439666748,0.010345659218728542,2.01223,0.8753536643063085,fast
7495-12701,12-192120,0.0612091,0.49,0.49,144.8,5.174617755982652,1,1,0,10.92,10.921,0.003,0.0527,30.104,0.0009999999999994,10.917,10.921,0.007,0.052655,30.147,0.0039999999999995,10.28078090284656,10.618321,145.82826,0.9911174,0.761878,11.2065,4,6.318837613913487,0.2737294980140508,0.2767294980140509,0.9129485951674904,0.5754084980140508,High,0.177,0.0,0.1819252371788025,0.06687045842409134,1.19974,0.8006371946918116,fast
7495-12703,12-129646,0.0298759,0.88,0.88,107.4,9.57305023256598,3,1,0,10.627,10.639,0.026,0.019884,62.974,0.0119999999999986,10.602,10.633,0.068,0.019411,62.81,0.0309999999999988,10.119348282530472,10.456889,53.695225,0.8920233,0.536654,10.7047,1170,5.923709334359543,-0.3291260110293603,-0.3041260110293601,0.1785257064401679,-0.1590150110293599,Mid,0.521,0.0,0.3316122889518738,-0.08257024735212326,0.837766,0.7725937403318301,fast
7495-6104,12-129534,0.029503,0.663,0.663,64.5,4.274138484753604,1,1,0,9.109,9.641,0.706,0.078781,77.866,0.532,9.22,9.648,0.627,0.078805,77.866,0.427999999999999,9.004880007240635,9.342421,29.92929,0.89982384,0.336896,6.33359,10,2.612961076841452,0.3257346847360476,0.214734684736047,0.4298546774954129,0.0923136847360478,Low,0.71,0.0,-0.05389636009931564,-0.05664805322885513,1.11009,0.41713294044340743,fast
7495-12705,12-129629,0.0762428,0.192,0.192,91.1,5.516665483218517,1,1,0,11.434,11.434,0.0,0.059889,2.566,0.0,11.427,11.457,0.066,0.059897,2.566,0.0300000000000011,10.45715948973154,10.7947,100.87998,0.9243247,0.832785,6.48566,4,8.243721530327871,-0.4448577964745531,-0.4378577964745535,0.5319827137939066,0.1944422035254454,High,0.213,0.0,-9999.0,-9999.0,4.69503,0.9161233130581,slow
7495-9102,12-129609,0.0289841,0.802,0.802,100.2,5.41409251979424,3,1,2,10.185,10.387,0.371,0.020642,59.491,0.2019999999999999,10.201,10.378,0.335,0.02042,59.491,0.1769999999999996,9.978313844512478,10.315854,85.93442,0.9446057,0.702952,4.80898,4226,3.253689896722314,0.2611193745286089,0.2451193745286089,0.4678055300161317,0.1302653745286096,Low,0.246,0.0,0.6531062722206116,0.003306251484900713,4.71023,0.5123761587545017,fast
7495-3703,12-110756,0.0285104,0.823,0.823,65.7,3.3208504368894785,3,1,0,9.626,9.626,0.0,0.051651,79.537,0.0,9.637,9.637,0.0,0.050747,83.393,0.0,9.284523223079823,9.622064,42.732788,0.92922497,0.310257,5.02675,10,1.9642290680256904,-0.0058764941926845,-0.0168764941926854,0.3356002827274918,-0.0019404941926849,Low,0.795,0.0,0.3447861075401306,-0.202373206615448,0.537198,0.29319213374546704,fast
7815-3702,1-113540,0.0293823,0.573,0.573,84.9,4.470276529694416,1,1,0,10.087,10.178,0.188,0.032479,36.696,0.091000000000001,9.994,10.215,0.398,0.029103,36.69,0.221,10.007034745260038,10.344575,80.814545,1.1618696,0.889156,3.77495,1216,2.7220852703271063,0.2282897052964098,0.3212897052964098,0.308254960036372,-0.0292852947035911,Low,0.113,0.0,0.3889244794845581,-0.09266705065965652,2.25602,0.4349017255155521,fast
7815-9101,1-113375,0.028215,0.806,0.806,79.8,8.495472857009752,3,1,2,9.814,10.384,0.731,0.02803,59.491,0.5700000000000003,9.703,10.384,0.791,0.027679,59.509,0.6810000000000009,9.679288863783018,10.0168295,49.055336,0.9007767,0.570455,8.96766,4288,4.974647759991826,0.3295437600484847,0.4405437600484854,0.4642548962654667,0.1267142600484848,Low,0.485,0.0,0.2936069965362549,-0.12897831201553345,0.687496,0.696762335070164,fast
7815-12704,1-113418,0.0430806,0.802,0.802,140.8,6.045073804309394,3,1,0,10.71,10.745,0.078,0.029597,75.114,0.0349999999999983,10.667,10.737,0.147,0.0293,74.961,0.0700000000000002,10.448369263175575,10.78591,104.42287,0.99361104,0.456991,7.31411,512,5.308899785981143,0.118004693676247,0.1610046936762479,0.3796354305006726,0.0420946936762483,Mid,0.674,0.0,0.4699702858924866,-0.017173239961266518,2.00086,0.7250045274119473,fast
7815-3704,1-113651,0.0708847,0.63,0.63,139.0,3.8035313417264622,1,1,0,10.707,10.991,0.479,0.040499,36.744,0.2839999999999989,10.611,11.022,0.612,0.036673,36.73,0.4109999999999996,10.471128820084258,10.808669,131.42001,1.0154548,0.941069,2.96539,256,5.317671589817101,0.321453419890392,0.4174534198903922,0.5573245998061344,0.2197844198903927,Mid,0.047,0.001,0.6993845701217651,0.07075117528438568,2.61796,0.7257215125490771,fast
7815-12705,1-635503,0.0293012,0.81,0.81,116.4,7.690147727058768,3,1,0,10.562,10.562,0.0,0.02272,73.583,0.0,10.533,10.557,0.053,0.022655,73.558,0.0240000000000009,10.29038635876686,10.627927,79.82776,0.94393694,0.455715,9.07305,1552,4.670294024480064,-0.0229389755372039,0.006061024462796,0.2486746656959359,-0.0888659755372041,Mid,0.653,0.0,0.16926448047161102,-0.09693500399589539,1.11836,0.6693442230049998,fast
7815-3703,1-113585,0.070276,0.09,0.09,207.8,3.920336916057548,1,1,0,11.123,11.128,0.01,0.04515,67.081,0.0050000000000007,11.123,11.126,0.004,0.059117,86.222,0.0030000000000001,10.868646789102844,11.206187,209.63882,1.0258846,0.773512,4.03009,128,5.437805031640913,0.3207759607957886,0.3207759607957886,0.5751291716929445,0.2375889607957882,High,0.405,0.315,0.7334842681884766,0.1013934388756752,4.09985,0.7354236322326446,slow
8341-3702,1-259058,0.024225,0.724,0.724,81.3,3.812792486800097,1,1,0,9.728,9.853,0.25,0.029799,78.086,0.125,9.494,9.818,0.525,0.029634,78.403,0.3239999999999998,9.57437393561696,9.911915,64.098495,1.1056118,0.42258,4.59382,1168,1.926199257645017,0.2358057919381272,0.4698057919381272,0.3894318563211674,0.0518907919381264,Low,0.654,0.0,0.3616475462913513,-0.11553256213665009,1.20638,0.2847012111476152,fast
8341-12702,1-575668,0.0601828,0.243,0.243,213.8,10.846892408609962,1,1,0,11.535,11.552,0.037,0.025324,82.799,0.0169999999999994,11.556,11.557,0.001,0.026265,61.541,0.0010000000000012,11.021329904995776,11.3588705,215.30664,0.88516134,0.889124,8.80502,1040,13.039131165806385,0.3117724167445033,0.2907724167445044,0.8254425117487276,0.4879019167445033,High,0.179,0.023,0.6904401779174805,0.1485273241996765,4.3677,1.1152486540901516,slow
8341-6102,1-259068,0.0246979,0.469,0.469,124.4,4.2845494122867285,1,1,0,10.25,10.294,0.096,0.031676,67.614,0.0440000000000004,10.196,10.263,0.141,0.031703,66.417,0.0670000000000001,9.73146385734719,10.069004,108.50865,1.1894289,0.493934,4.56267,1168,2.205516484115117,0.2298479441631549,0.2838479441631553,0.7483840868159647,0.4108439441631554,Mid,0.586,0.24,0.32332417368888855,-0.04012364149093628,1.59558,0.3435103080602349,fast
8341-12701,1-282653,0.0242146,0.81,0.81,88.7,6.2033270506859015,3,1,0,9.952,10.031,0.166,0.029049,76.323,0.0790000000000006,9.939,10.032,0.193,0.029046,76.669,0.0929999999999999,9.46061974515819,9.798161,53.08884,0.95981973,0.300174,8.57495,1168,3.132576704087663,0.0593171015211387,0.0723171015211385,0.550697356362948,0.2131561015211383,Low,0.747,0.147,0.23124463856220245,-0.17438490688800812,0.5,0.4959017139053475,fast
8341-6101,1-258876,0.0316072,0.599,0.599,140.4,8.679886333515148,1,1,0,10.762,10.762,0.0,0.023633,64.43,0.0,10.751,10.752,0.0,0.024059,70.485,0.0010000000000012,10.443744747902064,10.781285,127.60762,0.9887901,0.579324,9.7557,1040,5.670406572476502,0.268776332297598,0.2797763322975989,0.587031584395534,0.2494913322975979,Mid,0.474,0.334,0.6719237565994263,0.1421860158443451,4.95467,0.753614199254936,fast
8341-3704,1-259250,0.0240353,0.597,0.597,196.0,5.052112760856407,3,1,2,10.703,10.757,0.113,0.019162,78.776,0.0540000000000002,10.704,10.755,0.109,0.024619,82.407,0.0510000000000001,10.312754761874393,10.650295,190.78987,1.6249577,0.585455,4.579,4096,2.5328927332312703,0.3271363377361924,0.3261363377361911,0.717381575861799,0.3798413377361919,Mid,0.458,0.162,0.9184777736663818,0.15247252583503723,4.3984,0.4036167980210372,fast
8341-6104,1-283286,0.031364,0.449,0.449,134.2,6.481275075324994,1,1,2,10.616,10.716,0.205,0.0275,50.628,0.0999999999999996,10.59,10.694,0.212,0.026306,53.871,0.1040000000000009,10.168600594123458,10.506142,130.92351,0.9722938,0.760917,5.45931,4288,4.202750027660714,0.3069777552856759,0.3329777552856757,0.754377161162218,0.416835755285675,Mid,0.33,0.066,0.765892744064331,-0.007241471670567989,4.11824,0.6235335596851789,fast
8341-9102,1-259245,0.0244724,0.769,0.769,73.9,6.89340261988521,1,1,0,10.065,10.118,0.115,0.028142,61.452,0.0530000000000008,10.078,10.119,0.091,0.028134,61.481,0.0410000000000003,9.593153099376847,9.930694,50.336464,0.9002946,0.561655,6.94866,1168,3.5170141795620142,-0.049651556642732,-0.062651556642732,0.4221953439804202,0.0846544433572666,Low,0.502,0.0,0.43321743607521057,-0.04088509455323219,0.770856,0.546174119267504,fast
8329-12704,1-235203,0.0159429,0.719,0.719,75.4,12.17149058654056,1,1,2,9.86,10.213,0.556,0.018139,67.781,0.3529999999999997,9.999,10.221,0.4,0.018118,67.185,0.2219999999999995,9.488162780358612,9.825704,50.45219,0.9276042,0.547486,12.2878,4096,4.087721977744597,0.2226503107535336,0.0836503107535325,0.5944875303949209,0.2569463107535331,Low,0.498,0.0,0.22866062819957733,-0.2768999934196472,1.06719,0.611481350033359,fast
8329-1901,1-235530,0.027447,0.461,0.461,162.6,4.3388369626129855,3,1,0,10.612,10.621,0.018,0.036518,32.391,0.0090000000000003,10.595,10.62,0.054,0.035914,32.591,0.0249999999999985,9.997783359534472,10.335324,169.82999,1.5568064,0.895949,2.79849,1040,2.4738116108541712,0.3068043071579602,0.3238043071579597,0.9210209476234889,0.5834803071579604,Mid,0.123,0.386,0.8775320649147034,0.017735973000526428,6.0,0.393366623554338,fast
8329-6103,1-265988,0.0312672,0.832,0.832,115.3,6.805635061155952,3,1,0,10.619,10.626,0.016,0.023891,59.664,0.0069999999999996,10.619,10.625,0.014,0.023818,59.692,0.0060000000000002,10.216751606701832,10.554293,79.30902,0.96363145,0.641807,6.41402,1168,4.399973621758271,-0.1114958446972515,-0.1114958446972515,0.2907525486009159,-0.0467888446972513,Mid,0.4,0.0,0.3753593862056732,-0.028987431898713112,1.47238,0.6434500728591045,fast
8329-12701,1-266039,0.0350445,0.694,0.694,114.3,13.223805813543084,3,1,0,11.161,11.161,0.0,0.017688,31.761,0.0,11.147,11.148,0.002,0.017672,31.849,0.0009999999999994,10.559485286674755,10.897026,87.01507,0.92915624,0.821144,11.1572,1040,9.538724129571204,-0.2369118479764687,-0.2229118479764695,0.3646028653487752,0.0270621520235303,High,0.165,0.32,0.3451947271823883,0.0515449121594429,1.99717,0.9794902886933208,fast
8319-1902,1-285062,0.0269767,0.343,0.343,131.8,3.695983422890308,3,1,0,10.357,10.358,0.0,0.036961,32.852,0.0010000000000012,10.318,10.327,0.019,0.036638,37.214,0.0090000000000003,10.059964585786684,10.397505,138.08882,1.784498,0.887822,2.40312,1168,2.0723569132273574,0.3051905067193519,0.3441905067193515,0.6022259209326672,0.2646855067193504,Mid,0.165,0.434,0.8749521374702454,0.19039776921272278,6.0,0.31646455420853736,fast
8319-12704,1-285136,0.0288275,0.785,0.785,91.3,12.554531662513767,1,1,0,10.493,10.638,0.284,0.016596,49.166,0.1449999999999995,10.275,10.637,0.566,0.016482,49.158,0.3620000000000001,10.312553920321047,10.650095,63.387615,0.9128626,0.705926,10.6201,1040,7.505513642279969,0.0517981571582836,0.2697981571582836,0.2322442368372367,-0.1052968428417162,Mid,0.416,0.0,0.32730355858802795,-0.04181621968746185,1.01127,0.8753804186811793,fast
8243-6103,1-47342,0.0314668,0.652,0.652,185.6,6.251592167920106,3,1,0,10.944,11.003,0.126,0.020954,59.785,0.0589999999999992,10.928,10.992,0.135,0.020712,59.765,0.064,10.548499974083596,10.886041,170.35826,1.0350504,0.773045,5.41201,1040,4.066595467670373,0.193366279103474,0.2093662791034741,0.5888663050198795,0.2513252791034744,High,0.181,0.0,0.8194876313209534,0.14993712306022644,3.82853,0.6092309722824887,fast
8243-12704,1-47291,0.0239134,0.81,0.81,84.9,9.534141849867371,3,1,0,10.11,10.403,0.49,0.019321,55.018,0.293000000000001,10.289,10.401,0.226,0.019237,54.703,0.1120000000000001,9.985277342205752,10.322818,53.799225,0.89158875,0.63099,9.9008,1040,4.756433103109187,0.0942423475683304,-0.0847576524316699,0.2189650053625782,-0.1185756524316699,Low,0.471,0.0,0.2733152508735657,-0.09011656790971756,0.874312,0.6772813929875648,fast
8243-12701,1-46562,0.0448787,0.827,0.827,165.0,11.434434604109711,3,1,0,11.158,11.242,0.174,0.016045,71.936,0.0840000000000014,11.107,11.237,0.258,0.016011,71.936,0.1300000000000007,10.809410210804478,11.146951,108.63193,0.9006356,0.470275,13.079,1040,10.438570118583709,-0.0020350807082481,0.0489649192917521,0.3465547084872738,0.0090139192917517,High,0.618,0.0,0.29467543959617615,-0.05382994934916496,1.5804,1.0186410128292043,fast
8243-6104,1-47248,0.0465202,0.164,0.164,250.5,7.984975004025103,1,1,0,11.485,11.486,0.0,0.028971,38.404,0.0010000000000012,11.418,11.482,0.134,0.030969,39.677,0.064,10.771878382780896,11.109419,252.32057,0.96098924,0.87381,6.14313,1040,7.541338863242164,0.2617626855375072,0.3287626855375073,0.9748843027566108,0.6373436855375059,High,0.218,0.395,0.8459438681602478,0.12561926245689392,6.0,0.8774484558564795,slow
8243-9102,1-605419,0.0587489,0.395,0.395,188.6,8.677498120555542,1,1,0,11.33,11.507,0.335,0.018704,20.222,0.1769999999999996,11.333,11.506,0.327,0.018695,20.207,0.173,11.111131398785512,11.448672,182.28749,0.91266614,0.976173,6.84591,1024,10.200077868688988,0.2655261327286129,0.2625261327286127,0.4843947339431013,0.1468541327286127,High,0.048,0.0,0.7399542331695557,0.13468137383460999,5.67735,1.0086034872337661,fast
8439-6103,1-124604,0.0253001,0.831,0.831,133.7,4.8468058018085545,3,1,0,10.451,10.451,0.0,0.028611,79.919,0.0,10.453,10.453,0.0,0.028216,80.013,0.0,10.024374822259768,10.361916,97.88853,1.1135571,0.345553,6.67132,1552,2.5539115140429853,0.0030783750694715,0.0010783750694726,0.4297035528097044,0.0921623750694712,Mid,0.688,0.107,0.48690393567085266,-0.04396111145615578,1.90221,0.40720584608770255,fast
8439-3702,1-585593,0.0265918,0.714,0.714,173.2,5.6034980135138985,1,1,0,10.585,10.697,0.227,0.006068,68.15,0.1119999999999983,10.562,10.695,0.262,0.007475,82.458,0.1330000000000009,10.444845471310462,10.782386,157.39249,1.8978977,0.638836,4.17571,1024,3.0985259142801014,0.3655320604454098,0.3885320604454112,0.505686589134949,0.16814606044541,Mid,0.527,0.069,0.7322663068771362,0.09428548812866211,4.81065,0.4911551326889533,fast
8439-1902,1-156061,0.0259393,0.169,0.169,107.6,12.271744714760231,1,1,2,10.398,10.452,0.117,0.046362,30.252,0.0540000000000002,10.393,10.393,0.0,0.040088,32.323,0.0,9.589396612476538,9.926937,110.00319,1.4762508,0.859392,1.92512,4288,6.62454527669167,0.5713755472776518,0.5763755472776508,1.3799789348011138,1.042438547277651,Mid,0.192,0.0,0.8454081416130066,-0.04327920451760292,6.0,0.8211560727067614,slow
8439-12702,1-155926,0.0269288,0.803,0.803,143.1,11.275155400179736,1,1,0,10.742,11.019,0.471,0.011061,56.158,0.2769999999999992,10.708,11.044,0.538,0.010712,56.158,0.3360000000000003,10.44134001561561,10.778881,119.63587,0.93711716,0.796842,8.68808,1024,6.311178257922575,0.279242186757936,0.3132421867579367,0.5799021711423265,0.2423611867579367,Mid,0.161,0.0,0.4728293716907501,0.06455282866954803,5.32491,0.8001104469056921,fast
8439-12701,1-155978,0.0162666,0.61,0.61,65.1,10.896376234037362,1,1,0,9.317,9.999,0.792,0.042345,64.204,0.6820000000000004,8.921,9.956,0.908,0.04204,67.153,1.035,8.950655909403528,9.288197,45.241833,0.96732205,0.526699,11.9432,1040,3.7323094633435954,0.6314669461292127,1.0274669461292136,0.9978110367256848,0.6602699461292126,Low,0.517,0.0,0.33083683252334595,-0.33230897784233093,1.57461,0.5719776459668863,fast
8439-12703,1-605884,0.0251076,0.798,0.798,103.5,11.002154263819731,3,1,0,10.601,10.603,0.006,0.017606,59.632,0.0019999999999988,10.577,10.609,0.072,0.017227,59.741,0.032,10.166193215170068,10.503734,65.49975,0.921794,0.607205,11.8238,1552,5.754562115964044,-0.1430995174165986,-0.1190995174165977,0.291707267413334,-0.0458335174165974,Mid,0.502,0.623,0.2781737148761749,-0.04289190471172333,0.645065,0.7600122822914912,fast
8439-6101,1-156074,0.0263866,0.688,0.688,78.0,6.3899166940059065,1,1,0,10.016,10.189,0.328,0.02873,61.471,0.173,10.025,10.188,0.313,0.028761,62.188,0.1630000000000002,9.430018587145234,9.767559,60.63107,0.99287593,0.571587,6.42902,1168,3.5069918846929533,0.1597341416670483,0.1507341416670479,0.745715554521814,0.408175141667048,Low,0.483,0.0,0.3190382719039917,-0.1846476048231125,1.1198,0.5449347609094046,fast
8439-12705,1-156062,0.0511487,0.177,0.177,182.2,12.09536617513744,1,1,2,11.36,11.405,0.098,0.030903,32.121,0.0449999999999999,11.329,11.37,0.089,0.031337,36.01,0.0409999999999985,10.71546431707162,11.053005,186.72623,0.9473778,0.844666,10.779,4160,12.490718478182892,0.344406993465671,0.3754069934656698,0.988942676394051,0.6514019934656698,High,0.177,0.075,0.7103991508483887,-0.16666938364505768,6.0,1.0965874201304093,slow
8439-3703,1-156158,0.138619,0.525,0.525,139.0,6.531787488092025,1,1,2,11.874,11.874,0.0,0.042403,18.211,0.0,11.873,11.874,0.001,0.042299,18.213,0.0010000000000012,11.029789470831856,11.367331,136.85376,0.85890967,0.933317,5.10564,4160,16.516836030266774,-0.3181507591413818,-0.3171507591413806,0.5260597700267624,0.1885182408586187,High,0.117,0.664,0.04063434898853302,0.06736192852258682,6.0,1.2179268573791202,fast
8326-1901,1-320681,0.0278739,0.576,0.576,185.6,4.05489353646264,1,1,0,10.71,10.735,0.054,0.039449,46.498,0.0249999999999985,10.698,10.733,0.074,0.036821,47.129,0.0350000000000001,10.184379080658596,10.521919,182.63416,1.5826485,0.859808,3.10794,1040,2.346665483329313,0.2490241239426468,0.2610241239426474,0.7746450432840517,0.4371051239426473,Mid,0.182,0.026,0.8235268592834473,0.14744950830936432,4.72368,0.3704511854237228,fast
8326-3702,1-321069,0.0726445,0.434,0.434,240.4,5.60171189226634,3,1,0,11.395,11.426,0.067,0.030634,72.697,0.0310000000000005,11.389,11.423,0.073,0.031347,82.961,0.0340000000000006,10.999752381567356,11.337293,233.6701,0.9990702,0.613687,5.17041,1040,8.00951997597534,0.3112216932383525,0.3172216932383527,0.7064693116709958,0.3689286932383513,High,0.475,0.0,0.8222609758377075,0.15366928279399872,5.77061,0.9036064888642629,fast
8326-12702,1-235575,0.0271793,0.699,0.699,62.4,10.694240677015214,1,1,0,9.703,10.588,0.87,0.019833,36.616,0.8849999999999998,9.185,10.607,0.962,0.018943,36.617,1.4219999999999988,9.670367401399092,10.007908,42.869972,0.86885196,0.873253,8.38001,1168,6.039867225830974,0.4077427069000414,0.9257427069000403,0.4403753055009486,0.1028347069000403,Low,0.164,0.0,0.3443108797073364,-0.09292560815811157,0.782878,0.7810273916471673,fast
8326-3701,1-235530,0.027447,0.429,0.429,160.8,4.333569252824301,1,1,0,10.58,10.58,0.0,0.032163,33.701,0.0,10.603,10.604,0.0,0.031306,32.966,0.0009999999999994,9.997783359534472,10.335324,168.04117,1.4109844,0.895949,2.79849,1040,2.470808197324198,0.3290793424258345,0.3060793424258348,0.911295982891363,0.5737553424258346,Mid,0.123,0.0,0.8701326847076416,0.057387541979551315,6.0,0.3928390335134626,fast
8326-12701,1-235398,0.0280844,0.707,0.707,129.7,7.886182126857604,3,1,0,10.708,10.708,0.0,0.0212,62.858,0.0,10.717,10.717,0.0,0.01979,62.654,0.0,10.219835914662877,10.557377,108.55329,0.9393992,0.596415,8.44428,1552,4.597220233899109,0.0911902059586243,0.0821902059586239,0.5793542912957477,0.2418132059586238,Mid,0.392,0.24,0.4939953088760376,0.013879063539206982,2.17459,0.6624953095097316,fast
8326-6104,1-320584,0.071057,0.277,0.277,294.3,7.409401886207906,1,1,0,11.598,11.688,0.185,0.020858,85.23,0.0899999999999998,11.599,11.685,0.176,0.028322,85.23,0.0860000000000003,11.031816307505684,11.369357,291.40457,0.9975563,0.839827,5.3306,1040,10.382070178996068,0.4126855925280357,0.4116855925280363,0.9788692850223524,0.6413285925280356,High,0.232,0.064,0.7587547898292542,0.1475575566291809,6.0,1.016283960224561,slow
7991-6103,1-24006,0.0311171,0.814,0.814,59.0,3.9887705875200425,1,1,0,8.813,9.64,0.851,0.038494,77.866,0.827,8.312,9.626,0.951,0.03816,77.866,1.314,9.448608940474736,9.78615,33.965492,0.95301276,0.378606,5.35987,64,2.566902185595992,0.7238940550035908,1.224894055003592,0.088285114528855,-0.2492559449964077,Low,0.746,0.0,0.25883838534355164,-0.1219526156783104,0.82885,0.40940931975625927,fast
7991-3702,1-23979,0.0266298,0.666,0.666,105.6,4.901487293681805,3,1,0,10.276,10.357,0.17,0.032707,45.842,0.0809999999999995,10.262,10.362,0.204,0.032166,45.96,0.0999999999999996,9.950524034052464,10.288065,95.09604,1.0044144,0.740375,4.33234,1168,2.7140882833306046,0.1793577504873276,0.193357750487327,0.5048337164348639,0.1672927504873279,Mid,0.346,0.0,0.6759925484657288,0.005013247486203909,2.96698,0.43362397019908494,fast
7991-1902,1-24099,0.0281658,0.665,0.665,120.2,3.394332271403022,3,1,0,10.226,10.261,0.076,0.030804,48.855,0.0349999999999983,10.202,10.27,0.145,0.030892,49.232,0.0679999999999996,10.07136643675913,10.408907,113.10084,1.5391245,0.775333,3.07681,1168,1.9842528970410884,0.2439375994803478,0.2679375994803486,0.398571162721219,0.0610305994803495,Low,0.274,0.438,0.6885470151901245,0.13424982130527496,3.89255,0.29759702305505265,fast
7991-9101,1-23929,0.0283133,0.821,0.821,84.3,6.970905400066627,3,1,0,10.106,10.229,0.247,0.031359,70.184,0.1229999999999993,10.097,10.235,0.271,0.031366,70.658,0.1379999999999999,9.698605912984592,10.036146,52.570282,0.88621545,0.456738,7.97234,64,4.095649174575286,0.0132122776467851,0.0222122776467853,0.4206063646621932,0.0830662776467843,Low,0.632,0.0,0.3041679263114929,-0.05086158588528633,1.00812,0.6123227487315983,fast
