plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile,Eps_MGE,beta_z,LW_AGE_1Re,LW_Z_1Re,nsa_sersic_n,log_Re_kpc,kin_class
11013-12702,1-244372,0.03998446,0.828,0.828,132.1,14.415909470015247,1,1,0,10.567,11.177,0.754,0.012415,63.433,0.6099999999999994,11.0,11.23,0.411,0.009917,62.821,0.2300000000000004,10.585243189381927,10.922784,82.32138,0.8501145,0.57398915,14.616008,1040,11.79416579242008,0.40110142824981,-0.0318985717501898,0.382858238867883,0.0453174282498101,Mid,0.547,0.003,0.33547243475914,0.009485408663749695,1.4169579,1.0716672284296718,fast
11018-9101,1-233665,0.036029298,0.857,0.857,192.0,8.112021369963204,3,1,0,11.008,11.116,0.221,0.018831,68.922,0.1080000000000005,10.998,11.123,0.25,0.018398,68.922,0.125,10.592806937760324,10.930347,140.13362,0.93607116,0.53114355,7.618335,1040,6.008745913786446,0.1292774374553697,0.1392774374553695,0.5444704996950449,0.2069304374553695,High,0.57,0.0,0.7035010457038879,0.0691731721162796,3.6150808,0.7787838397973063,fast
11024-6102,1-159278,0.0207401,0.569,0.569,58.7,4.300973728632651,1,1,0,9.394,9.522,0.256,0.066262,72.681,0.1280000000000001,8.553,9.464,0.877,0.064517,72.244,0.9109999999999996,9.064306558787695,9.401847,48.205124,0.95706385,0.48129597,5.4542794,1168,1.8681435033053355,0.3090055581825393,1.1500055581825386,0.638698999394844,0.3011585581825392,Low,0.5,0.0,0.3605419099330902,-0.13098399341106415,1.0006129,0.271410233938984,fast
11750-12704,1-282996,0.02002918,0.588,0.588,72.1,10.5402289795751,1,1,0,10.139,10.211,0.153,0.05333,54.343,0.0720000000000009,10.196,10.21,0.03,0.053309,54.052,0.0140000000000011,9.136771157931769,9.474312,61.41011,0.8878909,0.65896505,9.631527,1168,4.42508241889907,0.1488100301678525,0.0918100301678522,1.1510388722360834,0.8134980301678526,Low,0.382,0.0,0.31688177585601807,-0.31162843108177185,0.9331633,0.645921364014574,fast
10844-6102,1-78125,0.06130094,0.061,0.061,240.2,8.093342476367706,1,1,0,11.456,11.504,0.102,0.01996,80.043,0.048,11.456,11.504,0.102,0.020192,80.043,0.048,10.929536578034444,11.267077,246.14879,0.9516587,0.9112808,6.0752583,1040,9.896707765392849,0.3872950724265682,0.3872950724265682,0.913758494392124,0.5762180724265673,High,0.117,0.008,0.7508922815322876,0.1443299949169159,6.0,0.9954907464041288,slow
10837-12705,1-640498,0.11516545,0.227,0.227,221.8,5.325936307719477,1,1,0,11.459,11.491,0.07,0.058237,52.961,0.032,11.447,11.474,0.059,0.058151,84.745,0.027000000000001,11.08423410499287,11.421775,225.76743,1.0366236,0.6548592,22.19252,1024,11.491443908903092,0.3741060956276946,0.386106095627695,0.7488719906348243,0.411331095627694,High,0.204,0.025,-9999.0,-9999.0,3.1789632,1.0603746015577964,slow
10839-6101,1-53118,0.028156279,0.782,0.782,88.1,6.324908247295783,1,1,0,10.107,10.182,0.159,0.035217,75.104,0.075000000000001,9.8,10.147,0.55,0.035697,75.133,0.3469999999999995,9.95891089347336,10.296452,64.10302,0.99379456,0.4430064,7.543724,1168,3.696196674449987,0.1399209681652581,0.4469209681652567,0.2880100746918968,-0.0495310318347428,Low,0.71,0.0,0.27541857957839966,-0.0652117058634758,1.6309413,0.5677550719517126,fast
10844-3702,1-78117,0.027370295,0.261,0.261,116.8,6.466907396905768,3,1,0,11.256,11.256,0.0,0.036746,2.566,0.0,11.25,11.25,0.0,0.036478,2.566,0.0,10.13580190344528,10.473343,121.23236,0.9436905,0.8649542,5.2637405,1552,3.677179755061392,-0.4578391049508266,-0.4518391049508262,0.6623589916038936,0.3248178950491739,High,0.013,0.0,0.7421191930770874,0.12487918883562088,5.18918,0.5655148604163529,slow
11007-1901,1-456507,0.023127329,0.53,0.53,112.2,4.253789169054721,1,1,0,10.243,10.276,0.074,0.040895,31.895,0.0329999999999994,10.234,10.265,0.067,0.040434,32.086,0.0310000000000005,9.853413820024848,10.190954,113.504486,1.1702024,0.83252025,3.38629,1040,2.054349221501328,0.2451092400505846,0.2541092400505849,0.6346954200257371,0.2971552400505853,Low,0.213,0.554,0.8479751944541931,0.0981251522898674,6.0,0.31267427182182184,fast
11970-1902,1-333290,0.033665374,0.213,0.213,193.5,4.677537453893924,1,1,0,10.8,10.801,0.0,0.060774,80.043,0.0009999999999994,10.8,10.801,0.0,0.061412,80.043,0.0009999999999994,10.338093287520506,10.675633,205.19221,1.6888129,0.93207896,2.8384886,1040,3.246657361592483,0.4011671110348292,0.4011671110348292,0.863073823514324,0.5255341110348305,Mid,0.014,0.002,0.7288292050361633,0.1835414618253708,6.0,0.5114364574521268,slow
12087-3702,1-117763,0.073033586,0.769,0.769,268.8,5.614127095751723,3,1,0,11.521,11.544,0.05,0.061864,65.87,0.0229999999999996,11.474,11.537,0.135,0.057348,65.869,0.0630000000000006,10.957441965128972,11.294983,225.14958,0.88859,0.5592274,5.1817536,1040,8.066575632520006,0.1560404079724992,0.2030404079724999,0.7195984428435286,0.3820574079724998,High,0.531,0.243,0.6898323893547058,0.15565210580825806,2.2204337,0.9066892101222591,fast
12491-1902,1-4106,0.07060522,0.338,0.338,240.0,4.714176004103204,1,1,0,11.312,11.329,0.035,0.041753,85.23,0.0170000000000012,11.299,11.327,0.062,0.041992,85.23,0.0280000000000004,10.970104319672467,11.307645,240.81007,1.1584268,0.82447,3.5525198,1040,6.56700702073091,0.334125684007215,0.3471256840072148,0.6760213643347471,0.3384806840072134,High,0.245,0.026,0.7644371390342712,0.13672682642936707,6.0,0.81736748058835,fast
11962-3703,1-631833,0.045978706,0.145,0.145,217.8,9.475693341386592,1,1,0,11.38,11.38,0.0,0.028527,20.281,0.0,11.385,11.385,0.0,0.028499,19.594,0.0,10.777533410840304,11.115074,226.63246,1.0700024,0.8613003,4.192296,1040,8.850794526459559,0.3430353999316787,0.3380353999316797,0.9455019890913756,0.6079613999316795,High,0.163,0.0,0.8478581309318542,0.16742534935474396,4.471941,0.9469822586039139,slow
